,,,,,,,,,,,,,,,,,1m,3m,6m,,YTD,,1a,,3a,,5a,,10a,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
,,,,,,,,,,,,,,,,,01/03/2026,01/01/2026,01/10/2025,,01/01/2026,,01/04/2025,,01/04/2023,,01/04/2021,,01/04/2016,,01/01/2013,,01/01/2014,,01/01/2015,,01/01/2016,,01/01/2017,,01/01/2018,,01/01/2019,,01/01/2020,,01/01/2021,,01/01/2022,,01/01/2023,,01/01/2024,,01/01/2025,
,,,,,,,,,,,,,,,,,31/03/2026,31/03/2026,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/12/2013,,31/12/2014,,31/12/2015,,31/12/2016,,31/12/2017,,31/12/2018,,31/12/2019,,31/12/2020,,31/12/2021,,31/12/2022,,31/12/2023,,31/12/2024,,31/12/2025,
Fondo ,ISIN,Categoría Morningstar ,Categoría Mediolanum ,Gestora,Familia,EU SFDR (Artículo 8 o 9),Frecuencia reparto DIVIDENDO,InBest,InBest MW,Double Chance,Big Chance ,Fecha de lanzamiento,Indicador riesgo marzo (PRIIPS),RV Style Box,RF Style Box, PATRIMONIO  ,Rentabilidad,Rentabilidad,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  
Mediolanum BB Dynamic Collection LH A,IE00B3BF0S24,EAA Fund EUR Aggressive Allocation - Global,Multi Activos Flexible ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,9/19/2008,3,4,2," 292,120,167.00 € ",-5.94,-4.13,-2.72,9.54,-4.13,n.d.,4.69,8.19,6.95,8.35,2.32,10.52,3.21,10.49,12.83,5.06,6.84,4.50,1.91,10.88,0.38,6.48,5.73,2.41,-9.01,7.63,12.13,5.99,5.69,21.39,12.84,6.00,-18.32,16.16,12.43,10.98,9.82,5.39,6.96,6.77
Mediolanum BB Dynamic Collection S A,IE0030608966,EAA Fund EUR Aggressive Allocation - Global,Multi Activos Flexible ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,10/1/2001,3,4,2," 292,120,167.00 € ",-4.57,-2.90,-1.32,8.18,-2.90,n.d.,2.24,8.51,6.48,8.32,3.31,9.92,3.80,10.02,11.03,5.04,9.75,4.16,3.39,12.93,0.71,6.83,0.89,3.55,-6.74,7.26,14.03,5.86,2.70,20.22,18.26,5.57,-14.81,15.12,10.87,8.43,14.20,5.82,0.81,9.52
Mediolanum BB Dynamic Collection SH A,IE00B3BF0T31,EAA Fund EUR Aggressive Allocation - Global,Multi Activos Flexible ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,9/18/2008,3,4,2," 292,120,167.00 € ",-5.99,-4.21,-2.86,9.58,-4.21,n.d.,4.05,8.13,6.75,8.52,2.11,10.60,2.96,10.54,12.29,5.04,6.49,4.48,1.40,10.88,0.02,6.46,5.37,2.42,-9.29,7.63,12.05,5.96,5.45,21.41,12.67,6.01,-18.58,16.17,12.07,10.98,9.90,6.48,6.61,6.42
Mediolanum BB Dynamic Intl Val Opp LA,IE00BYZ2Y955,EAA Fund Global Large-Cap Value Equity,Renta Variable Internacional ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,6/3/2016,3,1,," 1,546,573,542.00 € ",-5.18,-0.67,3.47,10.11,-0.67,n.d.,8.23,10.89,10.91,9.98,7.26,11.32,,,,,,,,,,,2.18,7.43,-10.20,11.23,17.68,11.19,-14.22,25.17,21.86,9.00,-8.40,16.25,14.81,10.86,16.17,8.25,7.36,11.32
Mediolanum BB Dynamic Intl Val Opp LHA,IE00BYZ2YB75,EAA Fund Other Equity,Renta Variable Internacional ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,6/3/2016,4,1,," 1,546,573,542.00 € ",-6.67,-2.16,2.65,12.30,-2.16,n.d.,11.93,10.09,11.07,9.99,6.02,12.01,,,,,,,,,,,9.93,5.28,-14.85,12.31,13.61,11.75,-10.50,27.15,14.84,9.47,-11.85,17.31,15.58,13.53,9.68,7.92,16.04,7.72
Mediolanum BB Dynamic Intl Val Opp SA,IE00BYZ2YC82,EAA Fund Global Large-Cap Value Equity,Renta Variable Internacional ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,6/3/2016,3,1,," 1,546,573,542.00 € ",-5.22,-0.77,3.42,10.18,-0.77,n.d.,7.96,10.90,10.41,9.87,6.86,11.11,,,,,,,,,,,1.77,7.43,-10.56,11.22,17.21,11.12,-14.57,25.17,20.54,8.79,-7.92,16.08,13.91,10.29,15.83,8.26,7.09,11.33
Mediolanum BB Dynamic Intll Val Opp SHA,IE00BYZ2YD99,EAA Fund Other Equity,Renta Variable Internacional ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,6/3/2016,4,1,," 1,546,573,542.00 € ",-6.71,-2.26,2.48,12.32,-2.26,n.d.,11.55,10.10,10.93,10.24,5.77,12.18,,,,,,,,,,,9.48,5.30,-15.22,12.31,13.24,11.78,-10.87,27.15,14.58,9.57,-12.37,17.40,15.01,13.77,10.16,8.48,15.67,7.73
Mediolanum BB EM Mlt Asst Cllctn L A,IE00B3S9CB42,EAA Fund Global Emerging Markets Allocation,Multi Activos Dinámicos,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,5/4/2010,3,4,2," 147,461,240.00 € ",-6.70,-0.20,2.33,13.93,-0.20,n.d.,9.33,11.54,6.29,8.53,-0.18,9.27,1.17,9.70,-7.02,8.39,9.76,6.54,-4.84,14.89,8.76,6.54,2.59,6.52,-12.54,7.16,10.20,7.19,0.53,18.90,0.80,5.14,-17.37,11.94,4.52,8.84,7.27,5.23,8.87,8.43
Mediolanum BB EM Mlt Asst Cllctn S A,IE00B3TV4Y62,EAA Fund Global Emerging Markets Allocation,Multi Activos Dinámicos,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,5/4/2010,3,4,2," 147,461,240.00 € ",-6.72,-0.11,2.49,14.52,-0.11,n.d.,9.41,11.88,6.03,8.67,-0.51,9.39,0.83,9.75,-7.39,8.38,9.31,6.54,-5.21,14.89,8.32,6.55,2.17,6.51,-12.89,7.16,9.86,7.16,0.18,18.90,0.72,5.32,-18.01,11.96,4.10,8.83,6.85,5.23,8.74,8.86
Mediolanum BB Emerging Mkts Collect L A,IE0005380518,EAA Fund Global Emerging Markets Equity,Renta Variable Países Emergentes,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,4/16/1999,4,4,," 473,610,276.00 € ",-11.05,0.91,4.89,24.57,0.91,n.d.,17.47,19.13,8.86,13.81,0.32,14.32,3.89,14.11,-8.34,11.22,7.98,10.42,-6.54,18.26,5.71,11.30,13.99,6.07,-13.64,12.70,21.87,13.28,6.29,23.67,0.38,8.09,-18.80,17.52,2.99,14.24,10.45,9.44,14.98,12.66
Mediolanum BB Emerging Mkts Collect S A,IE0009624234,EAA Fund Global Emerging Markets Equity,Renta Variable Países Emergentes,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,2/1/2001,4,4,," 473,610,276.00 € ",-11.07,0.81,4.39,24.41,0.81,n.d.,16.99,19.16,8.34,13.84,-0.15,14.33,3.40,14.11,-8.80,11.20,7.45,10.42,-7.00,18.25,5.18,11.30,13.42,6.08,-14.07,12.69,21.40,13.27,4.91,23.55,-0.01,8.66,-18.57,17.44,2.47,14.24,9.89,9.44,14.48,12.77
Mediolanum BB Emerging Mkts Fxd Inc LA,IE00BJYLJB50,EAA Fund Global Emerging Markets Bond,Renta Fija Países Emergentes,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,No ,Sí,Sí,5/10/2019,3,,6," 1,084,251,511.00 € ",-1.35,-0.04,2.60,6.16,-0.04,n.d.,0.93,7.66,5.17,6.29,0.46,8.00,,,,,,,,,,,,,,,,,-5.10,17.99,2.10,5.02,-14.73,12.78,5.57,6.10,11.21,3.46,-1.48,8.58
Mediolanum BB Emerging Mkts Fxd Inc LB,IE00BJYLJC67,EAA Fund Global Emerging Markets Bond,Renta Fija Países Emergentes,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,No,No ,Sí,Sí,5/10/2019,3,,6," 1,084,251,511.00 € ",-1.33,-0.04,2.59,6.12,-0.04,n.d.,0.94,7.64,5.38,6.36,0.58,8.04,,,,,,,,,,,,,,,,,-5.10,17.99,2.08,5.04,-14.74,12.81,5.58,6.09,11.85,3.82,-1.47,8.58
Mediolanum BB Emerging Mkts Fxd IncLHA,IE00BJYLJD74,EAA Fund Global Emerging Markets Bond - EUR Hedged,Renta Fija Países Emergentes,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,No ,Sí,Sí,5/10/2019,3,,6," 1,084,251,511.00 € ",-3.51,-2.19,-0.41,6.08,-2.19,n.d.,3.38,4.51,4.84,5.81,-2.14,9.48,,,,,,,,,,,,,,,,,0.04,20.56,-5.66,6.40,-22.24,16.29,6.45,9.08,4.42,4.68,6.40,2.58
Mediolanum BB Emerging Mkts Fxd IncLHB,IE00BJYLJF98,EAA Fund Global Emerging Markets Bond - EUR Hedged,Renta Fija Países Emergentes,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,No,No ,Sí,Sí,5/10/2019,3,,6," 1,084,251,511.00 € ",-3.47,-2.10,-0.33,6.06,-2.10,n.d.,3.89,4.66,5.15,5.89,-1.99,9.51,,,,,,,,,,,,,,,,,0.09,20.55,-5.66,6.37,-22.33,16.26,6.43,9.16,4.88,4.57,6.77,3.14
Mediolanum BB Energy Transition L EUR,IE000V4RVQ80,EAA Fund Sector Equity Alternative Energy,Renta Variable Sectorial,Mediolanum International Funds Limited,Grupo Mediolanum ,Artículo 9,n.a.,Sí,Sí,Sí,Sí,7/8/2022,4,8,," 213,828,827.00 € ",-2.46,3.73,8.23,12.37,3.73,n.d.,30.00,12.60,-1.62,17.71,,,,,,,,,,,,,,,,,,,,,,,,,-3.06,21.94,-11.24,16.13,12.50,15.70
Mediolanum BB Energy Transition L H EUR,IE000X6G5UV2,EAA Fund Other Equity,Renta Variable Sectorial,Mediolanum International Funds Limited,Grupo Mediolanum,Artículo 9,n.a.,Sí,Sí,Sí,Sí,7/8/2022,4,8,," 213,828,827.00 € ",-3.65,2.50,6.47,12.56,2.50,n.d.,32.64,11.66,-1.83,18.49,,,,,,,,,,,,,,,,,,,,,,,,,-3.00,23.48,-14.89,17.99,18.56,13.50
Mediolanum BB Eq Pwr Cpn Cllctn LA EUR,IE0032080503,EAA Fund Global Equity Income,Renta Variable Dividendos ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,11/28/2002,3,4,," 559,257,382.00 € ",-5.75,-1.45,2.99,11.31,-1.45,n.d.,9.91,10.89,7.28,8.71,5.00,9.60,4.77,11.61,9.85,6.62,9.84,5.09,2.30,16.85,4.90,9.49,1.41,5.94,-9.52,10.73,22.29,9.39,-6.69,24.25,20.01,7.77,-8.64,14.13,5.73,8.23,9.35,5.60,11.07,9.94
Mediolanum BB Eq Pwr Cpn Cllctn LB Inc,IE00B9G50M30,EAA Fund Global Equity Income,Renta Variable Dividendos ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,Sí,Sí,Sí,Sí,2/20/2013,3,4,," 559,257,382.00 € ",-5.75,-1.45,2.96,11.31,-1.45,n.d.,9.93,10.89,7.51,8.63,5.16,9.55,4.85,11.58,,,9.84,5.09,2.30,16.84,4.89,9.48,1.42,5.94,-9.51,10.72,22.33,9.37,-6.70,24.24,20.13,7.69,-8.63,14.14,5.90,8.27,9.84,5.08,11.09,9.94
Mediolanum BB Eq Pwr Cpn Cllctn LHA EUR,IE00B04KP775,EAA Fund Other Equity,Renta Variable Dividendos ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,3/18/2005,3,4,," 559,257,382.00 € ",-6.88,-2.60,1.50,12.48,-2.60,n.d.,13.73,10.14,7.81,9.21,4.24,10.21,4.02,11.78,11.20,7.27,4.91,6.30,-0.61,13.79,4.49,8.82,7.46,3.03,-12.86,10.64,17.89,9.95,-3.36,25.04,14.49,6.99,-11.79,14.84,6.23,10.81,5.33,6.07,18.53,7.04
Mediolanum BB Eq Pwr Cpn Cllctn LHB,IE00B7M9HB33,EAA Fund Other Equity,Renta Variable Dividendos ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,Sí,Sí,Sí,Sí,2/21/2013,3,4,," 559,257,382.00 € ",-6.87,-2.59,1.53,12.48,-2.59,n.d.,13.09,10.20,7.87,9.27,4.28,10.25,4.06,11.81,,,4.91,6.31,-0.59,13.75,4.54,8.82,7.47,3.01,-12.89,10.65,18.16,9.96,-3.37,25.05,14.61,7.01,-11.80,14.87,6.30,10.86,5.99,6.59,17.89,6.87
Mediolanum BB Eq Pwr Cpn Cllctn SA EUR,IE0030609048,EAA Fund Global Equity Income,Renta Variable Dividendos ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,10/1/2001,3,4,," 559,257,382.00 € ",-5.78,-1.54,2.74,11.27,-1.54,n.d.,9.53,10.88,7.21,8.69,4.82,9.59,4.47,11.60,9.41,6.60,9.40,5.10,1.89,16.84,4.47,9.48,1.01,5.95,-9.89,10.73,21.91,9.38,-7.07,24.23,19.70,7.68,-9.01,14.13,5.45,8.28,9.77,5.39,10.68,9.93
Mediolanum BB Eq Pwr Cpn Cllctn SHA EUR,IE00B02YQJ08,EAA Fund Other Equity,Renta Variable Dividendos ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,3/18/2005,3,4,," 559,257,382.00 € ",-6.93,-2.70,1.32,12.51,-2.70,n.d.,12.50,10.33,7.42,9.33,3.84,10.27,3.62,11.81,10.84,7.26,4.43,6.31,-1.10,13.79,4.08,8.83,7.00,3.01,-13.23,10.64,17.61,9.94,-3.78,25.04,14.09,6.99,-12.15,14.84,5.81,10.83,5.65,6.59,17.33,7.13
Mediolanum BB Eq Pwr Cpn Cllctn SHB,IE00B9G58527,EAA Fund Other Equity,Renta Variable Dividendos ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,Sí,Sí,Sí,Sí,2/21/2013,3,4,," 559,257,382.00 € ",-6.92,-2.68,1.34,12.51,-2.68,n.d.,12.64,10.44,7.48,9.42,3.90,10.33,3.68,11.84,,,4.47,6.31,-1.02,13.75,4.08,8.82,7.04,3.03,-13.24,10.65,17.78,9.97,-3.75,25.04,14.07,7.06,-12.00,14.86,5.85,10.84,5.65,6.56,17.47,7.50
Mediolanum BB Eq Pwr Cpn CllctnSB,IE00B9G61455,EAA Fund Global Equity Income,Renta Variable Dividendos ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,Sí,Sí,Sí,Sí,2/21/2013,3,4,," 559,257,382.00 € ",-5.78,-1.53,3.15,11.51,-1.53,n.d.,10.24,10.42,7.26,8.83,4.86,9.66,4.50,11.63,,,9.41,5.10,1.89,16.84,4.47,9.48,1.01,5.94,-9.88,10.72,22.01,9.39,-7.06,24.24,19.71,7.65,-9.00,14.13,5.45,8.28,8.89,6.24,11.74,9.81
Mediolanum BB Equilibrium LA,IE00BVL88F07,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,3/6/2015,3,4,2," 132,955,735.00 € ",-1.94,-0.73,-0.67,3.71,-0.73,n.d.,2.71,2.98,4.02,3.75,-0.74,6.74,0.56,5.87,,,,,,,1.96,3.92,-1.32,2.01,-3.80,2.49,8.83,2.45,1.40,9.83,3.34,2.21,-18.43,11.98,7.17,5.23,4.90,3.45,2.71,3.01
Mediolanum BB Equilibrium LB,IE00BVL88G14,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Semestral,NO,NO,Sí,Sí,3/6/2015,3,4,2," 132,955,735.00 € ",-2.38,-1.10,-0.55,4.22,-1.10,n.d.,2.85,3.26,4.05,3.83,-0.72,6.78,0.59,5.89,,,,,,,1.94,3.95,-1.34,2.03,-3.81,2.50,9.09,2.41,1.41,9.84,3.32,2.23,-18.42,12.00,7.18,5.24,4.88,3.46,3.22,2.92
Mediolanum BB Equilibrium LHA,IE00BVL88J45,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,3/6/2015,3,4,2," 132,955,735.00 € ",-2.88,-1.48,-1.00,4.80,-1.48,n.d.,3.40,3.71,4.09,4.06,-1.27,7.11,-0.05,6.05,,,,,,,0.99,4.42,0.48,1.50,-4.96,2.53,8.37,2.45,0.12,9.64,1.87,2.48,-20.16,12.26,7.53,6.01,3.85,3.52,4.75,2.40
Mediolanum BB Equilibrium LHB,IE00BVL88H21,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Semestral,NO,NO,Sí,Sí,3/6/2015,3,4,2," 132,955,735.00 € ",-2.90,-1.48,-1.01,4.84,-1.48,n.d.,3.40,3.73,4.07,4.07,-1.27,7.11,-0.04,6.04,,,,,,,0.96,4.39,0.48,1.52,-4.96,2.54,8.49,2.43,0.11,9.64,1.88,2.51,-20.13,12.25,7.51,6.00,3.84,3.52,4.71,2.41
Mediolanum BB Equilibrium SA,IE00BVL88K59,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,3/6/2015,3,4,2," 132,955,735.00 € ",-2.50,-1.16,-0.69,4.39,-1.16,n.d.,2.57,3.36,3.79,3.85,-0.97,6.79,0.35,5.90,,,,,,,1.68,3.95,-1.58,2.03,-4.06,2.49,8.85,2.41,1.19,9.82,3.21,2.23,-18.69,12.01,6.90,5.23,4.64,3.45,2.94,2.92
Mediolanum BB Equilibrium SB,IE00BVL88L66,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Semestral,NO,NO,Sí,Sí,3/6/2015,3,4,2," 132,955,735.00 € ",-2.49,-1.15,-0.67,4.38,-1.15,n.d.,2.58,3.35,3.79,3.85,-0.97,6.79,0.35,5.90,,,,,,,1.68,3.95,-1.58,2.03,-4.05,2.49,8.91,2.40,1.19,9.83,3.23,2.23,-18.71,12.00,6.91,5.23,4.63,3.45,2.94,2.92
Mediolanum BB Equilibrium SHA,IE00BVL88N80,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,3/6/2015,3,4,2," 132,955,735.00 € ",-2.92,-1.53,-1.11,4.85,-1.53,n.d.,3.16,3.73,3.83,4.08,-1.50,7.13,-0.27,6.05,,,,,,,0.74,4.39,0.24,1.50,-5.21,2.53,8.25,2.42,-0.14,9.64,1.81,2.55,-20.43,12.27,7.26,6.00,3.57,3.53,4.47,2.41
Mediolanum BB Equilibrium SHB,IE00BVL88M73,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Semestral,NO,NO,Sí,Sí,3/6/2015,3,4,2," 132,955,735.00 € ",-2.92,-1.54,-1.12,4.84,-1.54,n.d.,3.16,3.73,3.83,4.08,-1.50,7.13,-0.27,6.06,,,,,,,0.73,4.39,0.25,1.50,-5.21,2.52,8.31,2.41,-0.14,9.63,1.83,2.58,-20.43,12.27,7.26,6.00,3.56,3.52,4.48,2.42
Mediolanum BB Euro Fixed Income L A,IE0030608859,EAA Fund EUR Diversified Bond - Short Term,Renta Fija Diversificada,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,10/1/2001,2,,2," 2,005,272,875.00 € ",-0.19,0.06,0.42,0.45,0.06,n.d.,1.19,0.33,2.47,0.47,0.48,1.71,0.31,1.45,0.27,0.78,0.65,0.39,-0.42,0.79,0.05,0.41,-0.08,0.46,-1.13,0.80,0.71,0.63,1.02,2.28,0.03,0.48,-5.34,3.21,3.57,0.67,2.86,0.26,1.66,0.12
Mediolanum BB Euro Fixed Income L B,IE0030618007,EAA Fund EUR Diversified Bond - Short Term,Renta Fija Diversificada,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Semestral,NO,NO,NO,NO,10/1/2001,2,,2," 2,005,272,875.00 € ",-0.17,0.09,0.43,0.42,0.09,n.d.,1.20,0.31,2.47,0.46,0.48,1.71,0.32,1.44,0.25,0.79,0.63,0.39,-0.44,0.78,0.04,0.40,-0.09,0.45,-1.13,0.79,0.69,0.64,1.08,2.28,-0.04,0.42,-5.29,3.20,3.58,0.67,2.86,0.28,1.64,0.11
Mediolanum BB Euro Fixed Income S A,IE0030618114,EAA Fund EUR Diversified Bond - Short Term,Renta Fija Diversificada,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,NO,NO,10/1/2001,2,,2," 2,005,272,875.00 € ",-0.19,0.08,0.42,0.44,0.08,n.d.,1.17,0.31,2.39,0.45,0.39,1.71,0.22,1.45,0.04,0.78,0.44,0.39,-0.64,0.79,-0.09,0.41,-0.19,0.45,-1.23,0.80,0.61,0.66,0.98,2.30,-0.05,0.49,-5.46,3.20,3.46,0.66,2.76,0.26,1.60,0.09
Mediolanum BB Euro Fixed Income S B,IE0030618221,EAA Fund EUR Diversified Bond - Short Term,Renta Fija Diversificada,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Semestral,NO,NO,NO,NO,10/1/2001,2,,2," 2,005,272,875.00 € ",-0.19,0.07,0.42,0.45,0.07,n.d.,1.16,0.32,2.39,0.46,0.39,1.72,0.23,1.45,0.04,0.79,0.43,0.39,-0.64,0.78,-0.09,0.41,-0.20,0.45,-1.23,0.79,0.62,0.66,1.03,2.30,-0.03,0.49,-5.48,3.20,3.47,0.66,2.75,0.27,1.61,0.10
Mediolanum BB European Collection L A,IE0005372291,EAA Fund Europe Large-Cap Blend Equity,Renta Variable Europa,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,4/16/1999,3,4,," 486,857,788.00 € ",-8.06,-3.54,2.02,14.80,-3.54,n.d.,7.39,11.41,6.96,10.20,4.94,12.30,3.84,13.25,15.13,6.33,5.36,7.16,9.24,17.78,-3.58,11.99,5.47,6.61,-13.83,10.25,19.03,8.62,-3.44,26.62,18.41,8.14,-13.25,18.58,11.22,12.54,6.10,5.66,15.55,9.58
Mediolanum BB European Collection L H,IE00B04KP445,EAA Fund Other Equity,Renta Variable Europa,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,3/18/2005,3,4,," 486,857,788.00 € ",-7.93,-3.68,1.71,14.44,-3.68,n.d.,8.44,11.29,6.52,10.23,4.58,12.06,3.77,12.81,15.56,6.89,3.90,7.50,7.41,15.94,-0.94,10.82,7.74,5.73,-14.19,10.01,16.72,7.70,-2.59,25.89,16.41,7.90,-12.80,17.83,9.86,12.31,4.41,5.81,17.54,9.96
Mediolanum BB European Collection S A,IE0009623939,EAA Fund Europe Large-Cap Blend Equity,Renta Variable Europa,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,2/1/2001,3,4,," 486,857,788.00 € ",-8.10,-3.64,1.82,14.81,-3.64,n.d.,7.26,11.50,6.53,10.41,4.50,12.40,3.38,13.30,14.54,6.33,4.84,7.15,8.70,17.78,-4.05,11.99,4.94,6.61,-14.27,10.25,18.57,8.63,-3.94,26.61,18.06,8.15,-13.68,18.57,10.65,12.54,5.46,6.22,15.40,9.94
Mediolanum BB European Cpn StrgyCol LA,IE00BYVXS238,EAA Fund EUR Flexible Allocation,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,No ,Sí,Sí,3/1/2016,3,4,2," 230,807,075.00 € ",-5.11,-2.22,0.50,9.07,-2.22,n.d.,3.92,6.63,5.14,6.00,1.77,8.05,1.98,8.46,,,,,,,,,4.01,4.37,-10.62,6.85,13.57,4.75,-1.42,16.19,9.41,4.21,-14.65,13.37,8.28,6.88,5.57,3.95,7.83,4.67
Mediolanum BB European Cpn StrgyCol LB,IE00BYVXS345,EAA Fund EUR Flexible Allocation,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,No,No ,Sí,Sí,3/4/2016,3,4,2," 230,807,075.00 € ",-4.99,-2.07,0.53,8.86,-2.07,n.d.,3.98,6.51,5.27,5.91,1.85,8.01,2.02,8.44,,,,,,,,,4.02,4.37,-10.63,6.86,13.55,4.73,-1.43,16.19,9.37,4.29,-14.58,13.35,8.29,6.88,5.88,3.83,7.74,4.56
Mediolanum BB European Cpn StrgyCol LHA,IE00BYVXS451,EAA Fund EUR Flexible Allocation,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,No ,Sí,Sí,3/1/2016,3,4,2," 230,807,075.00 € ",-5.01,-2.21,0.30,8.84,-2.21,n.d.,4.14,6.42,5.06,5.80,1.49,7.80,1.87,8.22,,,,,,,,,5.05,4.04,-10.84,6.82,12.20,4.58,-0.69,15.96,7.78,4.06,-14.97,12.78,7.70,6.89,5.31,3.84,8.42,4.31
Mediolanum BB European Cpn StrgyCol LHB,IE00BYVXS568,EAA Fund EUR Flexible Allocation,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,No,No ,Sí,Sí,3/8/2016,3,4,2," 230,807,075.00 € ",-5.00,-2.21,0.32,8.81,-2.21,n.d.,4.44,6.52,5.18,5.91,1.55,7.85,1.91,8.24,,,,,,,,,5.05,4.04,-10.86,6.83,12.23,4.59,-0.71,15.97,7.63,4.15,-14.85,12.75,7.71,6.90,5.28,3.83,8.81,4.76
